Location,temperature_mean,temperature_std,temperature_min,temperature_max,humidity_mean,humidity_std,humidity_min,humidity_max,co2_mean,co2_std,co2_min,co2_max,pir_mean,pir_std,pir_min,pir_max,light_mean,light_std,light_min,light_max,CO2_Rank,Humidity_Rank,Light_Rank,Temperature_Rank,PIR_Rank,description
AM01-0101,21.334663470881647,1.528104256556233,17.7,27.0,31.65006154045475,12.610286018723242,5,72,526.8592990866101,200.3608276839841,363,2963,1.1805078707002656,3.845193016346975,0,29,36.75014575370862,59.58800903368653,0,2325,Good,Good,Dark,Comfortable,Occupied,"The room AM01-0101 has a mean temperature of 21.334663470881647°C with a standard deviation of 1.528104256556233°C, ranging from 17.7°C to 27.0°C. The average humidity is 31.65006154045475% with a standard deviation of 12.610286018723242%, ranging from 5% to 72%. The average CO2 level is 526.8592990866101 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
AM01-0102,21.590877378764755,1.6138451886834522,17.6,28.4,31.033045753262527,12.613083993351154,5,73,524.464478151182,196.4194236590984,358,2974,0.9985984364780266,3.4862078723018435,0,29,48.29414146447815,85.04336842708264,0,2316,Good,Good,Dark,Comfortable,Free,"The room AM01-0102 has a mean temperature of 21.590877378764755°C with a standard deviation of 1.6138451886834522°C, ranging from 17.6°C to 28.4°C. The average humidity is 31.033045753262527% with a standard deviation of 12.613083993351154%, ranging from 5% to 73%. The average CO2 level is 524.464478151182 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
AM01-0201,21.32082076420312,1.5289814006338676,16.8,27.5,32.27784062342886,12.92686727696689,5,75,549.1268853695324,198.84310178998624,365,3017,1.1922134238310709,3.6404195773296038,0,29,28.503550779286073,49.76133391349669,0,2336,Good,Good,Dark,Comfortable,Occupied,"The room AM01-0201 has a mean temperature of 21.32082076420312°C with a standard deviation of 1.5289814006338676°C, ranging from 16.8°C to 27.5°C. The average humidity is 32.27784062342886% with a standard deviation of 12.92686727696689%, ranging from 5% to 75%. The average CO2 level is 549.1268853695324 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
AM01-0202,21.5096421095975,1.5058788392218831,17.0,27.2,31.380056960505094,13.136004397323635,4,75,510.6037470404557,199.57814098328237,309,3065,1.7435404728408195,4.763918061204648,0,29,57.30144460076176,97.28565016835569,1,2292,Good,Good,Dark,Comfortable,Occupied,"The room AM01-0202 has a mean temperature of 21.5096421095975°C with a standard deviation of 1.5058788392218831°C, ranging from 17.0°C to 27.2°C. The average humidity is 31.380056960505094% with a standard deviation of 13.136004397323635%, ranging from 4% to 75%. The average CO2 level is 510.6037470404557 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
AM01-0301,21.18420983434131,1.5594636823107029,17.1,26.9,31.92719563502498,12.924792045810928,5,76,353.0010189324218,186.50895036652153,185,2644,1.651360767814883,4.251049951085697,0,29,32.39133578753616,56.097999919615695,1,2326,Good,Good,Dark,Comfortable,Occupied,"The room AM01-0301 has a mean temperature of 21.18420983434131°C with a standard deviation of 1.5594636823107029°C, ranging from 17.1°C to 26.9°C. The average humidity is 31.92719563502498% with a standard deviation of 12.924792045810928%, ranging from 5% to 76%. The average CO2 level is 353.0010189324218 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
AM01-0302,21.342844647152543,1.5369643982825298,16.8,27.0,31.613726531504796,12.94742538393409,5,75,1336.2292337009153,7754.068836235904,0,65533,1.5803630002186748,4.277072168546591,0,29,46.20477335915779,94.84660311679022,1,2317,Hazardous,Good,Dark,Comfortable,Occupied,"The room AM01-0302 has a mean temperature of 21.342844647152543°C with a standard deviation of 1.5369643982825298°C, ranging from 16.8°C to 27.0°C. The average humidity is 31.613726531504796% with a standard deviation of 12.94742538393409%, ranging from 5% to 75%. The average CO2 level is 1336.2292337009153 ppm, and the room is generally considered Hazardous for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
AM01-0401,21.349817159883525,1.5673232005952913,17.4,27.1,31.64935328773617,13.130153512103568,4,76,535.5440847836392,200.17188091344988,354,3024,0.9532403331753233,3.029569199924618,0,28,34.43763120471321,63.72087040404626,1,2305,Good,Good,Dark,Comfortable,Free,"The room AM01-0401 has a mean temperature of 21.349817159883525°C with a standard deviation of 1.5673232005952913°C, ranging from 17.4°C to 27.1°C. The average humidity is 31.64935328773617% with a standard deviation of 13.130153512103568%, ranging from 4% to 76%. The average CO2 level is 535.5440847836392 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
AM01-0402,21.353797297702148,1.5187409182104712,17.0,27.0,32.445279966445966,13.277292653454811,5,77,557.5328200365499,408.1985959533172,261,65533,1.106114622966536,3.5004093218508285,0,29,44.72410797207825,88.34650185167315,1,2321,Good,Good,Dark,Comfortable,Occupied,"The room AM01-0402 has a mean temperature of 21.353797297702148°C with a standard deviation of 1.5187409182104712°C, ranging from 17.0°C to 27.0°C. The average humidity is 32.445279966445966% with a standard deviation of 13.277292653454811%, ranging from 5% to 77%. The average CO2 level is 557.5328200365499 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Occupied for occupancy."
AM01-0501,21.317678295355243,1.585278300671676,16.6,27.4,31.999798346440816,13.316471147333484,5,78,446.7213147812059,193.89694577798417,255,2882,0.8022450762922633,2.936587737901901,0,29,30.96625663776299,64.93655801205178,1,2287,Good,Good,Dark,Comfortable,Free,"The room AM01-0501 has a mean temperature of 21.317678295355243°C with a standard deviation of 1.585278300671676°C, ranging from 16.6°C to 27.4°C. The average humidity is 31.999798346440816% with a standard deviation of 13.316471147333484%, ranging from 5% to 78%. The average CO2 level is 446.7213147812059 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
AM01-0502,21.320220576131685,1.549687365822019,16.8,27.1,31.609251028806586,13.302973051229639,5,76,535.397925925926,193.39342891349705,340,2956,0.8581399176954733,3.2145454309785024,0,29,53.66261728395062,98.79184357300223,1,2296,Good,Good,Dark,Comfortable,Free,"The room AM01-0502 has a mean temperature of 21.320220576131685°C with a standard deviation of 1.549687365822019°C, ranging from 16.8°C to 27.1°C. The average humidity is 31.609251028806586% with a standard deviation of 13.302973051229639%, ranging from 5% to 76%. The average CO2 level is 535.397925925926 ppm, and the room is generally considered Good for CO2 levels, Good for humidity, Dark for light, Comfortable for temperature, and Free for occupancy."
